APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,month_num,quarter,season,modal_price_per_kg,min_price_per_kg,max_price_per_kg,price_spread_qtl,commodity_season_median,deviation_from_seasonal_median_pct,price_detector_status
Ahmednagar,Ginger (Fresh),2016,April,46,1667,3000,2500,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,25.0,16.67,30.0,1333,2682.0,-6.79,Normal / Fair Mandi Price
Ahmednagar,Potato,2016,April,510,767,1367,1133,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,11.33,7.67,13.67,600,1071.0,5.79,Normal / Fair Mandi Price
Ahmednagar,Ladies Finger,2016,April,58,1067,4000,3000,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,30.0,10.67,40.0,2933,2250.0,33.33,Inflated Price / Hoarding Alert
Ahmednagar,Flower,2016,April,180,625,3375,2138,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,21.38,6.25,33.75,2750,1043.0,104.99,Inflated Price / Hoarding Alert
Ahmednagar,Carrot,2016,April,57,900,1400,1250,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,12.5,9.0,14.0,500,1113.5,12.26,Normal / Fair Mandi Price
Ahmednagar,Cluster Bean,2016,April,46,4250,6875,5750,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,57.5,42.5,68.75,2625,3167.0,81.56,Inflated Price / Hoarding Alert
Ahmednagar,Cucumber,2016,April,202,500,2050,1500,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,15.0,5.0,20.5,1550,1483.5,1.11,Normal / Fair Mandi Price
Ahmednagar,Onion,2015,April,186700,114,1459,797,2015-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,7.97,1.14,14.59,1345,770.0,3.51,Normal / Fair Mandi Price
Ahmednagar,Onion,2016,April,42342,100,938,538,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,5.38,1.0,9.38,838,770.0,-30.13,Distress Glut / Price Crash
Ahmednagar,Bitter Gourd,2016,April,8,5000,6333,5667,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,56.67,50.0,63.33,1333,3211.0,76.49,Inflated Price / Hoarding Alert
Ahmednagar,Cabbage,2016,April,195,275,900,675,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,6.75,2.75,9.0,625,622.5,8.43,Normal / Fair Mandi Price
Ahmednagar,Garlic,2016,April,14,4500,6000,5250,2016-04-01,Ahmadnagar,Maharashtra,4,2,Summer/Zaid,52.5,45.0,60.0,1500,4479.0,17.21,Normal / Fair Mandi Price
